epoch,get_categorical_accuracy_keras,loss,val_get_categorical_accuracy_keras,val_loss
0,0.54467121982210931,0.68968693387553837,0.52113123611681111,0.69216751645093955
0,0.5461801143583227,0.685738412973387,0.52113123611681111,0.68680000695342824
1,0.54888024142312575,0.67869600483241199,0.54972990153136614,0.67904996347306146
0,0.58772192980388926,0.66953833489349501,0.62044512328819601,0.66413024111447472
1,0.63480786536678635,0.64567129086813502,0.64510146192450357,0.63609663635888991
2,0.6568031199537554,0.62032329287427423,0.66463015492035782,0.61755013880759846
3,0.66831210625683068,0.60639780891807393,0.67313986471743403,0.60764727006176011
4,0.67528022473173199,0.59819739371815317,0.67739471960296649,0.59959476825947999
5,0.67897564566294388,0.59266782547066199,0.68317695831123615,0.59154665947428653
6,0.68433468785672058,0.58655036876026523,0.68655902246135614,0.58638863769806349
7,0.68672102982670113,0.58126645720443615,0.68775910974043097,0.58317669071850498
8,0.68996645484065711,0.57764451296884078,0.69397774382290978,0.57724745107638686
9,0.69422096164550284,0.57376439575216953,0.69561422647619364,0.57180125914154789
10,0.69805274497342007,0.56794952664652432,0.69659611606816396,0.56891150148628111
11,0.70143453240033715,0.56370842350668138,0.70401483742971749,0.56273392977580317
12,0.70579812909003592,0.5584645079874565,0.70543312239589684,0.56064337125231334
13,0.71054354052302149,0.55325189662382168,0.71350643685778081,0.55044426883955122
14,0.716325306131955,0.54642024908307163,0.72027056510599841,0.54515066133584877
15,0.72164343961159672,0.54017469929586337,0.70106916869282332,0.56722731576485064
16,0.72573431150138235,0.53485124900940739,0.73358062407139635,0.53254906382853096
17,0.73620694357486582,0.52545418850540104,0.70630591319633729,0.54465243820537523
18,0.73819783455863808,0.52070277993841019,0.74307222346044277,0.5172377896184045
19,0.7426705211787058,0.51433526790635908,0.75060004366554867,0.51078025751854694
20,0.75042954155612451,0.50626775763873422,0.74089024655038083,0.51380927966407308
21,0.75183407424544213,0.50302822230071387,0.73805367667004451,0.51201281584222169
22,0.75284315596480711,0.49912336909550215,0.74154483963770557,0.51279717270214176
23,0.7602203616509573,0.49111731777823964,0.73707178702605181,0.51377163148202054
24,0.76057490384662907,0.48814871927472492,0.76325550951761056,0.49069852770974537
25,0.76465213954388556,0.48306757255412919,0.76020074184612496,0.48832430324256876
26,0.76496577304818036,0.47892637321585335,0.73510800789413355,0.51435282869992394
27,0.76920664356621404,0.47476918395424467,0.76903774822588022,0.47560442338051195
28,0.7694520958754073,0.47317686073324966,0.76881955049975892,0.47209252751656505
29,0.77295660948374278,0.46763555063245393,0.76380100373537185,0.47780292789254053
0,0.77582021982593685,0.46326435165129315,0.77525638225633664,0.46477485153057574
1,0.77763383967773636,0.45922084432255306,0.7686013528126544,0.47168558514745063
2,0.78079744729755929,0.45602648329961731,0.77078332967069407,0.46801082629603952
3,0.781233806958889,0.45401206010152051,0.77536548113890569,0.46091455238083423
4,0.78312924427797193,0.45081983547603172,0.78300240016155254,0.45414306572267588
5,0.78431559713256072,0.44875685378141439,0.76761946320767849,0.47504311238161323
