t_a_0.01_c_f_s_f_z_tepoch,acc,loss,val_acc,val_loss
0,0.8153590082075417,2.9760611990812773,0.78446215139442232,3.4740596942217707
1,0.81535370928397188,2.9761466079573151,0.78446215139442232,3.4740596942217707
2,0.81538240780599802,2.9756840424073068,0.78446215139442232,3.4740596942217707
3,0.81535370928397188,2.9761466079299463,0.78446215139442232,3.4740596942217707
4,0.81535370928397188,2.976146607950473,0.78446215139442232,3.4740596942217707
5,0.81532501076194575,2.9766091733910054,0.78446215139442232,3.4740596942217707
6,0.81535370928397188,2.9761466077246785,0.78446215139442232,3.4740596942217707
7,0.81546850337207633,2.9742963460925527,0.78446215139442232,3.4740596942217707
8,0.81526761371789358,2.9775343046278673,0.78446215139442232,3.4740596942217707
9,0.81546850337207633,2.9742963461541327,0.78446215139442232,3.4740596942217707
10,0.81529631223991961,2.977071738821274,0.78446215139442232,3.4740596942217707
11,0.81529631223991961,2.9770717387904839,0.78446215139442232,3.4740596942217707
12,0.81549720189410246,2.9738337804125412,0.78446215139442232,3.4740596942217707
13,0.81535370928397188,2.9761466078888925,0.78446215139442232,3.4740596942217707
14,0.81532501076194575,2.9766091735278506,0.78446215139442232,3.4740596942217707
