t_a_0.1_c_f_s_f_z_tepoch,acc,loss,val_acc,val_loss
0,0.8153590082075417,2.9760611990744352,0.78446215139442232,3.4740596942217707
1,0.81538240780599802,2.9756840422773041,0.78446215139442232,3.4740596942217707
2,0.81532501076194575,2.9766091733533728,0.78446215139442232,3.4740596942217707
3,0.81541110632802416,2.9752214767272958,0.78446215139442232,3.4740596942217707
4,0.81535370928397188,2.9761466076767826,0.78446215139442232,3.4740596942217707
5,0.81532501076194575,2.9766091732952136,0.78446215139442232,3.4740596942217707
6,0.81535370928397188,2.9761466079025771,0.78446215139442232,3.4740596942217707
7,0.81541110632802416,2.9752214767580858,0.78446215139442232,3.4740596942217707
8,0.81535370928397188,2.9761466079983689,0.78446215139442232,3.4740596942217707
9,0.81535370928397188,2.9761466077452052,0.78446215139442232,3.4740596942217707
10,0.81541110632802416,2.9752214770899355,0.78446215139442232,3.4740596942217707
11,0.81535370928397188,2.9761466078341545,0.78446215139442232,3.4740596942217707
12,0.81543980485005019,2.9747589112730788,0.78446215139442232,3.4740596942217707
13,0.8152102166738413,2.9784594354849836,0.78446215139442232,3.4740596942217707
14,0.81541110632802416,2.9752214765767659,0.78446215139442232,3.4740596942217707
